numbers,bonus_ball,,,,,
2,5,10,18,24,39,26
18,25,40,41,44,49,6
2,5,8,23,38,39,27
4,5,7,18,20,31,41
15,16,19,21,42,43,2
6,14,20,23,24,37,48
3,19,21,33,40,48,37
4,6,14,15,33,38,49
6,15,16,18,27,34,33
2,4,12,17,18,23,33
9,12,15,31,33,42,19
3,9,12,13,40,47,6
11,24,32,37,42,46,14
6,9,27,37,40,44,32
7,11,18,32,38,42,1
6,14,20,23,24,37,48
3,19,21,33,40,48,37
4,6,14,15,33,38,49
6,15,16,18,27,34,33
2,4,12,17,18,23,33
9,12,15,31,33,42,19
3,9,12,13,40,47,6
11,24,32,37,42,46,14
6,9,27,37,40,44,32
7,11,18,32,38,42,1
21,22,28,36,48,49,4
29,35,39,44,45,49,15
14,15,27,31,40,46,33
5,12,18,29,32,46,30
9,11,15,19,20,36,8
5,9,13,18,24,39,29
10,25,28,32,40,47,29
4,6,8,11,13,22,47
8,9,15,19,24,34,40
6,18,19,24,28,47,44
21,22,28,36,48,49,4
29,35,39,44,45,49,15
14,15,27,31,40,46,33
5,12,18,29,32,46,30
9,11,15,19,20,36,8
5,9,13,18,24,39,29
10,25,28,32,40,47,29
4,6,8,11,13,22,47
8,9,15,19,24,34,40
6,18,19,24,28,47,44
12,17,23,24,25,34,40
3,7,12,16,20,25,29
5,12,26,36,41,49,9
9,22,24,27,30,32,36
4,10,19,20,21,37,17
4,11,13,25,37,49,24
16,19,26,27,31,39,2
8,20,23,30,42,43,32
5,7,17,25,29,45,31
12,26,27,29,34,49,1
12,17,23,24,25,34,40
3,7,12,16,20,25,29
5,12,26,36,41,49,9
9,22,24,27,30,32,36
4,10,19,20,21,37,17
4,11,13,25,37,49,24
16,19,26,27,31,39,2
8,20,23,30,42,43,32
5,7,17,25,29,45,31
12,26,27,29,34,49,1
3,4,14,20,23,31,17
2,11,33,36,37,46,29
24,30,37,40,46,49,32
11,19,21,36,41,47,3
2,3,33,44,45,47,36
7,26,29,33,40,42,44
14,15,19,22,27,32,7
7,12,19,23,39,40,14
1,8,22,28,47,49,3
5,6,20,47,48,49,41
3,4,14,20,23,31,17
2,11,33,36,37,46,29
24,30,37,40,46,49,32
11,19,21,36,41,47,3
2,3,33,44,45,47,36
7,26,29,33,40,42,44
14,15,19,22,27,32,7
7,12,19,23,39,40,14
1,8,22,28,47,49,3
5,6,20,47,48,49,41
5,6,13,16,24,41,21
1,5,14,41,45,48,40
6,16,19,35,45,46,47
4,16,42,44,46,47,28
5,27,33,42,47,48,28
11,13,18,33,35,41,45
6,9,27,28,31,44,16
1,4,9,20,24,44,7
13,15,21,32,34,43,19
4,9,18,39,40,42,3
5,6,13,16,24,41,21
1,5,14,41,45,48,40
6,16,19,35,45,46,47
4,16,42,44,46,47,28
5,27,33,42,47,48,28
11,13,18,33,35,41,45
6,9,27,28,31,44,16
1,4,9,20,24,44,7
13,15,21,32,34,43,19
4,9,18,39,40,42,3
5,13,20,34,38,41,15
1,23,29,35,39,41,8
1,12,19,31,33,45,29
1,5,24,28,39,42,48
12,25,39,42,44,47,11
2,18,31,33,34,48,7
5,10,14,21,28,34,2
5,6,11,13,18,43,2
12,17,26,32,35,39,21
7,23,28,44,46,48,1
5,13,20,34,38,41,15
1,23,29,35,39,41,8
1,12,19,31,33,45,29
1,5,24,28,39,42,48
12,25,39,42,44,47,11
2,18,31,33,34,48,7
5,10,14,21,28,34,2
5,6,11,13,18,43,2
12,17,26,32,35,39,21
7,23,28,44,46,48,1
9,13,16,20,21,37,1
10,32,33,44,45,46,36
2,8,18,26,33,39,46
7,12,32,42,46,47,4
2,20,25,27,36,37,21
24,26,36,42,46,49,14
5,14,16,25,34,42,44
4,5,7,9,45,48,6
1,3,14,27,41,44,26
2,28,32,35,46,49,13
9,13,16,20,21,37,1
10,32,33,44,45,46,36
2,8,18,26,33,39,46
7,12,32,42,46,47,4
2,20,25,27,36,37,21
24,26,36,42,46,49,14
5,14,16,25,34,42,44
4,5,7,9,45,48,6
1,3,14,27,41,44,26
2,28,32,35,46,49,13
1,7,10,18,22,40,32
6,9,12,36,38,45,18
3,14,33,34,45,46,30
1,3,9,36,39,45,43
8,13,27,30,47,48,28
10,13,36,37,47,49,12
2,9,14,27,42,48,15
7,22,26,33,40,45,44
1,16,22,36,37,44,33
2,3,26,31,35,39,22
1,7,10,18,22,40,32
6,9,12,36,38,45,18
3,14,33,34,45,46,30
1,3,9,36,39,45,43
8,13,27,30,47,48,28
10,13,36,37,47,49,12
2,9,14,27,42,48,15
7,22,26,33,40,45,44
1,16,22,36,37,44,33
2,3,26,31,35,39,22
5,14,24,26,29,35,21
5,8,31,36,45,47,29
12,17,19,27,28,49,45
3,11,12,30,37,46,7
4,6,8,16,28,41,13
4,10,15,16,31,41,18
12,17,19,31,40,41,4
7,21,22,29,38,41,36
7,9,12,22,26,46,42
17,22,24,28,42,46,43
5,14,24,26,29,35,21
5,8,31,36,45,47,29
12,17,19,27,28,49,45
3,11,12,30,37,46,7
4,6,8,16,28,41,13
4,10,15,16,31,41,18
12,17,19,31,40,41,4
7,21,22,29,38,41,36
7,9,12,22,26,46,42
17,22,24,28,42,46,43
3,15,24,32,41,45,14
20,22,24,32,45,46,48
2,13,16,17,24,46,31
2,7,18,19,28,40,47
8,30,32,34,37,39,44
2,7,12,20,26,42,28
9,11,16,17,43,48,8
8,10,20,26,27,32,39
5,6,10,11,34,37,14
2,18,24,25,32,49,35
3,15,24,32,41,45,14
20,22,24,32,45,46,48
2,13,16,17,24,46,31
2,7,18,19,28,40,47
8,30,32,34,37,39,44
2,7,12,20,26,42,28
9,11,16,17,43,48,8
8,10,20,26,27,32,39
5,6,10,11,34,37,14
2,18,24,25,32,49,35
13,18,22,25,32,46,6
4,12,19,24,27,43,17
3,13,17,25,28,43,26
2,10,27,28,43,47,39
6,13,19,25,31,48,7
7,19,29,32,40,49,34
3,8,30,31,34,38,2
5,6,12,13,19,29,15
22,23,24,39,40,46,6
5,8,29,31,33,46,25
