numbers,bonus_ball,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,date
2,5,10,18,24,39,26,2023-01-01
18,25,40,41,44,49,6,2023-01-04
2,5,8,23,38,39,27,2023-01-07
4,5,7,18,20,31,41,2023-01-10
15,16,19,21,42,43,2,2023-01-13
6,14,20,23,24,37,48,2023-01-16
3,19,21,33,40,48,37,2023-01-19
4,6,14,15,33,38,49,2023-01-22
6,15,16,18,27,34,33,2023-01-25
2,4,12,17,18,23,33,2023-01-28
9,12,15,31,33,42,19,2023-01-31
3,9,12,13,40,47,6,2023-02-03
11,24,32,37,42,46,14,2023-02-06
6,9,27,37,40,44,32,2023-02-09
7,11,18,32,38,42,1,2023-02-12
6,14,20,23,24,37,48,2023-02-15
3,19,21,33,40,48,37,2023-02-18
4,6,14,15,33,38,49,2023-02-21
6,15,16,18,27,34,33,2023-02-24
2,4,12,17,18,23,33,2023-02-27
9,12,15,31,33,42,19,2023-03-02
3,9,12,13,40,47,6,2023-03-05
11,24,32,37,42,46,14,2023-03-08
6,9,27,37,40,44,32,2023-03-11
7,11,18,32,38,42,1,2023-03-14
21,22,28,36,48,49,4,2023-03-17
29,35,39,44,45,49,15,2023-03-20
14,15,27,31,40,46,33,2023-03-23
5,12,18,29,32,46,30,2023-03-26
9,11,15,19,20,36,8,2023-03-29
5,9,13,18,24,39,29,2023-04-01
10,25,28,32,40,47,29,2023-04-04
4,6,8,11,13,22,47,2023-04-07
8,9,15,19,24,34,40,2023-04-10
6,18,19,24,28,47,44,2023-04-13
21,22,28,36,48,49,4,2023-04-16
29,35,39,44,45,49,15,2023-04-19
14,15,27,31,40,46,33,2023-04-22
5,12,18,29,32,46,30,2023-04-25
9,11,15,19,20,36,8,2023-04-28
5,9,13,18,24,39,29,2023-05-01
10,25,28,32,40,47,29,2023-05-04
4,6,8,11,13,22,47,2023-05-07
8,9,15,19,24,34,40,2023-05-10
6,18,19,24,28,47,44,2023-05-13
12,17,23,24,25,34,40,2023-05-16
3,7,12,16,20,25,29,2023-05-19
5,12,26,36,41,49,9,2023-05-22
9,22,24,27,30,32,36,2023-05-25
4,10,19,20,21,37,17,2023-05-28
4,11,13,25,37,49,24,2023-05-31
16,19,26,27,31,39,2,2023-06-03
8,20,23,30,42,43,32,2023-06-06
5,7,17,25,29,45,31,2023-06-09
12,26,27,29,34,49,1,2023-06-12
12,17,23,24,25,34,40,2023-06-15
3,7,12,16,20,25,29,2023-06-18
5,12,26,36,41,49,9,2023-06-21
9,22,24,27,30,32,36,2023-06-24
4,10,19,20,21,37,17,2023-06-27
4,11,13,25,37,49,24,2023-06-30
16,19,26,27,31,39,2,2023-07-03
8,20,23,30,42,43,32,2023-07-06
5,7,17,25,29,45,31,2023-07-09
12,26,27,29,34,49,1,2023-07-12
3,4,14,20,23,31,17,2023-07-15
2,11,33,36,37,46,29,2023-07-18
24,30,37,40,46,49,32,2023-07-21
11,19,21,36,41,47,3,2023-07-24
2,3,33,44,45,47,36,2023-07-27
7,26,29,33,40,42,44,2023-07-30
14,15,19,22,27,32,7,2023-08-02
7,12,19,23,39,40,14,2023-08-05
1,8,22,28,47,49,3,2023-08-08
5,6,20,47,48,49,41,2023-08-11
3,4,14,20,23,31,17,2023-08-14
2,11,33,36,37,46,29,2023-08-17
24,30,37,40,46,49,32,2023-08-20
11,19,21,36,41,47,3,2023-08-23
2,3,33,44,45,47,36,2023-08-26
7,26,29,33,40,42,44,2023-08-29
14,15,19,22,27,32,7,2023-09-01
7,12,19,23,39,40,14,2023-09-04
1,8,22,28,47,49,3,2023-09-07
5,6,20,47,48,49,41,2023-09-10
5,6,13,16,24,41,21,2023-09-13
1,5,14,41,45,48,40,2023-09-16
6,16,19,35,45,46,47,2023-09-19
4,16,42,44,46,47,28,2023-09-22
5,27,33,42,47,48,28,2023-09-25
11,13,18,33,35,41,45,2023-09-28
6,9,27,28,31,44,16,2023-10-01
1,4,9,20,24,44,7,2023-10-04
13,15,21,32,34,43,19,2023-10-07
4,9,18,39,40,42,3,2023-10-10
5,6,13,16,24,41,21,2023-10-13
1,5,14,41,45,48,40,2023-10-16
6,16,19,35,45,46,47,2023-10-19
4,16,42,44,46,47,28,2023-10-22
5,27,33,42,47,48,28,2023-10-25
11,13,18,33,35,41,45,2023-10-28
6,9,27,28,31,44,16,2023-10-31
1,4,9,20,24,44,7,2023-11-03
13,15,21,32,34,43,19,2023-11-06
4,9,18,39,40,42,3,2023-11-09
5,13,20,34,38,41,15,2023-11-12
1,23,29,35,39,41,8,2023-11-15
1,12,19,31,33,45,29,2023-11-18
1,5,24,28,39,42,48,2023-11-21
12,25,39,42,44,47,11,2023-11-24
2,18,31,33,34,48,7,2023-11-27
5,10,14,21,28,34,2,2023-11-30
5,6,11,13,18,43,2,2023-12-03
12,17,26,32,35,39,21,2023-12-06
7,23,28,44,46,48,1,2023-12-09
5,13,20,34,38,41,15,2023-12-12
1,23,29,35,39,41,8,2023-12-15
1,12,19,31,33,45,29,2023-12-18
1,5,24,28,39,42,48,2023-12-21
12,25,39,42,44,47,11,2023-12-24
2,18,31,33,34,48,7,2023-12-27
5,10,14,21,28,34,2,2023-12-30
5,6,11,13,18,43,2,2024-01-02
12,17,26,32,35,39,21,2024-01-05
7,23,28,44,46,48,1,2024-01-08
9,13,16,20,21,37,1,2024-01-11
10,32,33,44,45,46,36,2024-01-14
2,8,18,26,33,39,46,2024-01-17
7,12,32,42,46,47,4,2024-01-20
2,20,25,27,36,37,21,2024-01-23
24,26,36,42,46,49,14,2024-01-26
5,14,16,25,34,42,44,2024-01-29
4,5,7,9,45,48,6,2024-02-01
1,3,14,27,41,44,26,2024-02-04
2,28,32,35,46,49,13,2024-02-07
9,13,16,20,21,37,1,2024-02-10
10,32,33,44,45,46,36,2024-02-13
2,8,18,26,33,39,46,2024-02-16
7,12,32,42,46,47,4,2024-02-19
2,20,25,27,36,37,21,2024-02-22
24,26,36,42,46,49,14,2024-02-25
5,14,16,25,34,42,44,2024-02-28
4,5,7,9,45,48,6,2024-03-02
1,3,14,27,41,44,26,2024-03-05
2,28,32,35,46,49,13,2024-03-08
1,7,10,18,22,40,32,2024-03-11
6,9,12,36,38,45,18,2024-03-14
3,14,33,34,45,46,30,2024-03-17
1,3,9,36,39,45,43,2024-03-20
8,13,27,30,47,48,28,2024-03-23
10,13,36,37,47,49,12,2024-03-26
2,9,14,27,42,48,15,2024-03-29
7,22,26,33,40,45,44,2024-04-01
1,16,22,36,37,44,33,2024-04-04
2,3,26,31,35,39,22,2024-04-07
