numbers,bonus_ball,date
"2,10,18,24,26,39",5,2023-01-01
"6,18,40,41,44,49",25,2023-01-04
"2,8,23,27,38,39",5,2023-01-07
"4,7,18,20,31,41",5,2023-01-10
"2,15,19,21,42,43",16,2023-01-13
"6,20,23,24,37,48",14,2023-01-16
"3,21,33,37,40,48",19,2023-01-19
"4,14,15,33,38,49",6,2023-01-22
"6,16,18,27,33,34",15,2023-01-25
"2,12,17,18,23,33",4,2023-01-28
"9,15,19,31,33,42",12,2023-01-31
"3,6,12,13,40,47",9,2023-02-03
"11,14,32,37,42,46",24,2023-02-06
"6,27,32,37,40,44",9,2023-02-09
"1,7,18,32,38,42",11,2023-02-12
"6,20,23,24,37,48",14,2023-02-15
"3,21,33,37,40,48",19,2023-02-18
"4,14,15,33,38,49",6,2023-02-21
"6,16,18,27,33,34",15,2023-02-24
"2,12,17,18,23,33",4,2023-02-27
"9,15,19,31,33,42",12,2023-03-02
"3,6,12,13,40,47",9,2023-03-05
"11,14,32,37,42,46",24,2023-03-08
"6,27,32,37,40,44",9,2023-03-11
"1,7,18,32,38,42",11,2023-03-14
"4,21,28,36,48,49",22,2023-03-17
"15,29,39,44,45,49",35,2023-03-20
"14,27,31,33,40,46",15,2023-03-23
"5,18,29,30,32,46",12,2023-03-26
"8,9,15,19,20,36",11,2023-03-29
"5,13,18,24,29,39",9,2023-04-01
"10,28,29,32,40,47",25,2023-04-04
"4,8,11,13,22,47",6,2023-04-07
"8,15,19,24,34,40",9,2023-04-10
"6,19,24,28,44,47",18,2023-04-13
"4,21,28,36,48,49",22,2023-04-16
"15,29,39,44,45,49",35,2023-04-19
"14,27,31,33,40,46",15,2023-04-22
"5,18,29,30,32,46",12,2023-04-25
"8,9,15,19,20,36",11,2023-04-28
"5,13,18,24,29,39",9,2023-05-01
"10,28,29,32,40,47",25,2023-05-04
"4,8,11,13,22,47",6,2023-05-07
"8,15,19,24,34,40",9,2023-05-10
"6,19,24,28,44,47",18,2023-05-13
"12,23,24,25,34,40",17,2023-05-16
"3,12,16,20,25,29",7,2023-05-19
"5,9,26,36,41,49",12,2023-05-22
"9,24,27,30,32,36",22,2023-05-25
"4,17,19,20,21,37",10,2023-05-28
"4,13,24,25,37,49",11,2023-05-31
"2,16,26,27,31,39",19,2023-06-03
"8,23,30,32,42,43",20,2023-06-06
"5,17,25,29,31,45",7,2023-06-09
"1,12,27,29,34,49",26,2023-06-12
"12,23,24,25,34,40",17,2023-06-15
"3,12,16,20,25,29",7,2023-06-18
"5,9,26,36,41,49",12,2023-06-21
"9,24,27,30,32,36",22,2023-06-24
"4,17,19,20,21,37",10,2023-06-27
"4,13,24,25,37,49",11,2023-06-30
"2,16,26,27,31,39",19,2023-07-03
"8,23,30,32,42,43",20,2023-07-06
"5,17,25,29,31,45",7,2023-07-09
"1,12,27,29,34,49",26,2023-07-12
"3,14,17,20,23,31",4,2023-07-15
"2,29,33,36,37,46",11,2023-07-18
"24,32,37,40,46,49",30,2023-07-21
"3,11,21,36,41,47",19,2023-07-24
"2,33,36,44,45,47",3,2023-07-27
"7,29,33,40,42,44",26,2023-07-30
"7,14,19,22,27,32",15,2023-08-02
"7,14,19,23,39,40",12,2023-08-05
"1,3,22,28,47,49",8,2023-08-08
"5,20,41,47,48,49",6,2023-08-11
"3,14,17,20,23,31",4,2023-08-14
"2,29,33,36,37,46",11,2023-08-17
"24,32,37,40,46,49",30,2023-08-20
"3,11,21,36,41,47",19,2023-08-23
"2,33,36,44,45,47",3,2023-08-26
"7,29,33,40,42,44",26,2023-08-29
"7,14,19,22,27,32",15,2023-09-01
"7,14,19,23,39,40",12,2023-09-04
"1,3,22,28,47,49",8,2023-09-07
"5,20,41,47,48,49",6,2023-09-10
"5,13,16,21,24,41",6,2023-09-13
"1,14,40,41,45,48",5,2023-09-16
"6,19,35,45,46,47",16,2023-09-19
"4,28,42,44,46,47",16,2023-09-22
"5,28,33,42,47,48",27,2023-09-25
"11,18,33,35,41,45",13,2023-09-28
"6,16,27,28,31,44",9,2023-10-01
"1,7,9,20,24,44",4,2023-10-04
"13,19,21,32,34,43",15,2023-10-07
"3,4,18,39,40,42",9,2023-10-10
"5,13,16,21,24,41",6,2023-10-13
"1,14,40,41,45,48",5,2023-10-16
"6,19,35,45,46,47",16,2023-10-19
"4,28,42,44,46,47",16,2023-10-22
"5,28,33,42,47,48",27,2023-10-25
"11,18,33,35,41,45",13,2023-10-28
"6,16,27,28,31,44",9,2023-10-31
"1,7,9,20,24,44",4,2023-11-03
"13,19,21,32,34,43",15,2023-11-06
"3,4,18,39,40,42",9,2023-11-09
"5,15,20,34,38,41",13,2023-11-12
"1,8,29,35,39,41",23,2023-11-15
"1,19,29,31,33,45",12,2023-11-18
"1,24,28,39,42,48",5,2023-11-21
"11,12,39,42,44,47",25,2023-11-24
"2,7,31,33,34,48",18,2023-11-27
"2,5,14,21,28,34",10,2023-11-30
"2,5,11,13,18,43",6,2023-12-03
"12,21,26,32,35,39",17,2023-12-06
"1,7,28,44,46,48",23,2023-12-09
"5,15,20,34,38,41",13,2023-12-12
"1,8,29,35,39,41",23,2023-12-15
"1,19,29,31,33,45",12,2023-12-18
"1,24,28,39,42,48",5,2023-12-21
"11,12,39,42,44,47",25,2023-12-24
"2,7,31,33,34,48",18,2023-12-27
"2,5,14,21,28,34",10,2023-12-30
"2,5,11,13,18,43",6,2024-01-02
"12,21,26,32,35,39",17,2024-01-05
"1,7,28,44,46,48",23,2024-01-08
"1,9,16,20,21,37",13,2024-01-11
"10,33,36,44,45,46",32,2024-01-14
"2,18,26,33,39,46",8,2024-01-17
"4,7,32,42,46,47",12,2024-01-20
"2,21,25,27,36,37",20,2024-01-23
"14,24,36,42,46,49",26,2024-01-26
"5,16,25,34,42,44",14,2024-01-29
"4,6,7,9,45,48",5,2024-02-01
"1,14,26,27,41,44",3,2024-02-04
"2,13,32,35,46,49",28,2024-02-07
"1,9,16,20,21,37",13,2024-02-10
"10,33,36,44,45,46",32,2024-02-13
"2,18,26,33,39,46",8,2024-02-16
"4,7,32,42,46,47",12,2024-02-19
"2,21,25,27,36,37",20,2024-02-22
"14,24,36,42,46,49",26,2024-02-25
"5,16,25,34,42,44",14,2024-02-28
"4,6,7,9,45,48",5,2024-03-02
"1,14,26,27,41,44",3,2024-03-05
"2,13,32,35,46,49",28,2024-03-08
"1,10,18,22,32,40",7,2024-03-11
"6,12,18,36,38,45",9,2024-03-14
"3,30,33,34,45,46",14,2024-03-17
"1,9,36,39,43,45",3,2024-03-20
"8,27,28,30,47,48",13,2024-03-23
"10,12,36,37,47,49",13,2024-03-26
"2,14,15,27,42,48",9,2024-03-29
"7,26,33,40,44,45",22,2024-04-01
"1,22,33,36,37,44",16,2024-04-04
"2,22,26,31,35,39",3,2024-04-07
"1,10,18,22,32,40",7,2024-04-10
"6,12,18,36,38,45",9,2024-04-13
"3,30,33,34,45,46",14,2024-04-16
"1,9,36,39,43,45",3,2024-04-19
"8,27,28,30,47,48",13,2024-04-22
"10,12,36,37,47,49",13,2024-04-25
"2,14,15,27,42,48",9,2024-04-28
"7,26,33,40,44,45",22,2024-05-01
"1,22,33,36,37,44",16,2024-05-04
"2,22,26,31,35,39",3,2024-05-07
"5,21,24,26,29,35",14,2024-05-10
"5,29,31,36,45,47",8,2024-05-13
"12,19,27,28,45,49",17,2024-05-16
"3,7,12,30,37,46",11,2024-05-19
"4,8,13,16,28,41",6,2024-05-22
"4,15,16,18,31,41",10,2024-05-25
"4,12,19,31,40,41",17,2024-05-28
"7,22,29,36,38,41",21,2024-05-31
"7,12,22,26,42,46",9,2024-06-03
"17,24,28,42,43,46",22,2024-06-06
"5,21,24,26,29,35",14,2024-06-09
"5,29,31,36,45,47",8,2024-06-12
"12,19,27,28,45,49",17,2024-06-15
"3,7,12,30,37,46",11,2024-06-18
"4,8,13,16,28,41",6,2024-06-21
"4,15,16,18,31,41",10,2024-06-24
"4,12,19,31,40,41",17,2024-06-27
"7,22,29,36,38,41",21,2024-06-30
"7,12,22,26,42,46",9,2024-07-03
"17,24,28,42,43,46",22,2024-07-06
"3,14,24,32,41,45",15,2024-07-09
"20,24,32,45,46,48",22,2024-07-12
"2,16,17,24,31,46",13,2024-07-15
"2,18,19,28,40,47",7,2024-07-18
"8,32,34,37,39,44",30,2024-07-21
"2,12,20,26,28,42",7,2024-07-24
"8,9,16,17,43,48",11,2024-07-27
"8,20,26,27,32,39",10,2024-07-30
"5,10,11,14,34,37",6,2024-08-02
"2,24,25,32,35,49",18,2024-08-05
"3,14,24,32,41,45",15,2024-08-08
"20,24,32,45,46,48",22,2024-08-11
"2,16,17,24,31,46",13,2024-08-14
"2,18,19,28,40,47",7,2024-08-17
"8,32,34,37,39,44",30,2024-08-20
"2,12,20,26,28,42",7,2024-08-23
"8,9,16,17,43,48",11,2024-08-26
"8,20,26,27,32,39",10,2024-08-29
"5,10,11,14,34,37",6,2024-09-01
"2,24,25,32,35,49",18,2024-09-04
"6,13,22,25,32,46",18,2024-09-07
"4,17,19,24,27,43",12,2024-09-10
"3,17,25,26,28,43",13,2024-09-13
"2,27,28,39,43,47",10,2024-09-16
"6,7,19,25,31,48",13,2024-09-19
"7,29,32,34,40,49",19,2024-09-22
"2,3,30,31,34,38",8,2024-09-25
"5,12,13,15,19,29",6,2024-09-28
"6,22,24,39,40,46",23,2024-10-01
"5,25,29,31,33,46",8,2024-10-04
"6,13,22,25,32,46",18,2024-10-07
"4,17,19,24,27,43",12,2024-10-10
"3,17,25,26,28,43",13,2024-10-13
"2,27,28,39,43,47",10,2024-10-16
"6,7,19,25,31,48",13,2024-10-19
"7,29,32,34,40,49",19,2024-10-22
"2,3,30,31,34,38",8,2024-10-25
"5,12,13,15,19,29",6,2024-10-28
"6,22,24,39,40,46",23,2024-10-31
"5,25,29,31,33,46",8,2024-11-03
"6,13,16,34,41,44",11,2024-11-06
"6,11,24,25,31,39",20,2024-11-09
