numbers,bonus_ball,date
"2,10,18,24,26,39",5,1997-01-10
"6,18,40,41,44,49",25,1997-01-16
"2,8,23,27,38,39",5,1997-01-16
"4,7,18,20,31,41",5,1997-01-22
"2,15,19,21,42,43",16,1997-01-22
"6,20,23,24,37,48",14,1997-01-28
"3,21,33,37,40,48",19,1997-01-28
"4,14,15,33,38,49",6,1997-02-03
"6,16,18,27,33,34",15,1997-02-03
"2,12,17,18,23,33",4,1997-02-09
"9,15,19,31,33,42",12,1997-02-09
"3,6,12,13,40,47",9,1997-02-15
"11,14,32,37,42,46",24,1997-02-15
"6,27,32,37,40,44",9,1997-02-21
"1,7,18,32,38,42",11,1997-02-21
"6,20,23,24,37,48",14,1997-02-27
"3,21,33,37,40,48",19,1997-02-27
"4,14,15,33,38,49",6,1997-03-05
"6,16,18,27,33,34",15,1997-03-05
"2,12,17,18,23,33",4,1997-03-11
"9,15,19,31,33,42",12,1997-03-11
"3,6,12,13,40,47",9,1997-03-17
"11,14,32,37,42,46",24,1997-03-17
"6,27,32,37,40,44",9,1997-03-23
"1,7,18,32,38,42",11,1997-03-23
"4,21,28,36,48,49",22,1997-03-29
"15,29,39,44,45,49",35,1997-03-29
"14,27,31,33,40,46",15,1997-04-04
"5,18,29,30,32,46",12,1997-04-04
"8,9,15,19,20,36",11,1997-04-10
"5,13,18,24,29,39",9,1997-04-10
"10,28,29,32,40,47",25,1997-04-16
"4,8,11,13,22,47",6,1997-04-16
"8,15,19,24,34,40",9,1997-04-22
"6,19,24,28,44,47",18,1997-04-22
"4,21,28,36,48,49",22,1997-04-28
"15,29,39,44,45,49",35,1997-04-28
"14,27,31,33,40,46",15,1997-05-04
"5,18,29,30,32,46",12,1997-05-04
"8,9,15,19,20,36",11,1997-05-10
"5,13,18,24,29,39",9,1997-05-10
"10,28,29,32,40,47",25,1997-05-16
"4,8,11,13,22,47",6,1997-05-16
"8,15,19,24,34,40",9,1997-05-22
"6,19,24,28,44,47",18,1997-05-22
"12,23,24,25,34,40",17,1997-05-28
"3,12,16,20,25,29",7,1997-05-28
"5,9,26,36,41,49",12,1997-06-03
"9,24,27,30,32,36",22,1997-06-03
"4,17,19,20,21,37",10,1997-06-09
"4,13,24,25,37,49",11,1997-06-09
"2,16,26,27,31,39",19,1997-06-15
"8,23,30,32,42,43",20,1997-06-15
"5,17,25,29,31,45",7,1997-06-21
"1,12,27,29,34,49",26,1997-06-21
"12,23,24,25,34,40",17,1997-06-27
"3,12,16,20,25,29",7,1997-06-27
"5,9,26,36,41,49",12,1997-07-03
"9,24,27,30,32,36",22,1997-07-03
"4,17,19,20,21,37",10,1997-07-09
"4,13,24,25,37,49",11,1997-07-09
"2,16,26,27,31,39",19,1997-07-15
"8,23,30,32,42,43",20,1997-07-15
"5,17,25,29,31,45",7,1997-07-21
"1,12,27,29,34,49",26,1997-07-21
"3,14,17,20,23,31",4,1997-07-27
"2,29,33,36,37,46",11,1997-07-27
"24,32,37,40,46,49",30,1997-08-02
"3,11,21,36,41,47",19,1997-08-02
"2,33,36,44,45,47",3,1997-08-08
"7,29,33,40,42,44",26,1997-08-08
"7,14,19,22,27,32",15,1997-08-14
"7,14,19,23,39,40",12,1997-08-14
"1,3,22,28,47,49",8,1997-08-20
"5,20,41,47,48,49",6,1997-08-20
"3,14,17,20,23,31",4,1997-08-26
"2,29,33,36,37,46",11,1997-08-26
"24,32,37,40,46,49",30,1997-09-01
"3,11,21,36,41,47",19,1997-09-01
"2,33,36,44,45,47",3,1997-09-07
"7,29,33,40,42,44",26,1997-09-07
"7,14,19,22,27,32",15,1997-09-13
"7,14,19,23,39,40",12,1997-09-13
"1,3,22,28,47,49",8,1997-09-19
"5,20,41,47,48,49",6,1997-09-19
"5,13,16,21,24,41",6,1997-09-25
"1,14,40,41,45,48",5,1997-09-25
"6,19,35,45,46,47",16,1997-10-01
"4,28,42,44,46,47",16,1997-10-01
"5,28,33,42,47,48",27,1997-10-07
"11,18,33,35,41,45",13,1997-10-07
"6,16,27,28,31,44",9,1997-10-13
"1,7,9,20,24,44",4,1997-10-13
"13,19,21,32,34,43",15,1997-10-19
"3,4,18,39,40,42",9,1997-10-19
"5,13,16,21,24,41",6,1997-10-25
"1,14,40,41,45,48",5,1997-10-25
"6,19,35,45,46,47",16,1997-10-31
"4,28,42,44,46,47",16,1997-10-31
"5,28,33,42,47,48",27,1997-11-06
"11,18,33,35,41,45",13,1997-11-06
"6,16,27,28,31,44",9,1997-11-12
"1,7,9,20,24,44",4,1997-11-12
"13,19,21,32,34,43",15,1997-11-18
"3,4,18,39,40,42",9,1997-11-18
"5,15,20,34,38,41",13,1997-11-24
"1,8,29,35,39,41",23,1997-11-24
"1,19,29,31,33,45",12,1997-11-30
"1,24,28,39,42,48",5,1997-11-30
"11,12,39,42,44,47",25,1997-12-06
"2,7,31,33,34,48",18,1997-12-06
"2,5,14,21,28,34",10,1997-12-12
"2,5,11,13,18,43",6,1997-12-12
"12,21,26,32,35,39",17,1997-12-18
"1,7,28,44,46,48",23,1997-12-18
"5,15,20,34,38,41",13,1997-12-24
"1,8,29,35,39,41",23,1997-12-24
"1,19,29,31,33,45",12,1997-12-30
"1,24,28,39,42,48",5,1997-12-30
"11,12,39,42,44,47",25,1998-01-05
"2,7,31,33,34,48",18,1998-01-05
"2,5,14,21,28,34",10,1998-01-11
"2,5,11,13,18,43",6,1998-01-11
"12,21,26,32,35,39",17,1998-01-17
"1,7,28,44,46,48",23,1998-01-17
"1,9,16,20,21,37",13,1998-01-23
"10,33,36,44,45,46",32,1998-01-23
"2,18,26,33,39,46",8,1998-01-29
"4,7,32,42,46,47",12,1998-01-29
"2,21,25,27,36,37",20,1998-02-04
"14,24,36,42,46,49",26,1998-02-04
"5,16,25,34,42,44",14,1998-02-10
"4,6,7,9,45,48",5,1998-02-10
"1,14,26,27,41,44",3,1998-02-16
"2,13,32,35,46,49",28,1998-02-16
"1,9,16,20,21,37",13,1998-02-22
"10,33,36,44,45,46",32,1998-02-22
"2,18,26,33,39,46",8,1998-02-28
"4,7,32,42,46,47",12,1998-02-28
"2,21,25,27,36,37",20,1998-03-06
"14,24,36,42,46,49",26,1998-03-06
"5,16,25,34,42,44",14,1998-03-12
"4,6,7,9,45,48",5,1998-03-12
"1,14,26,27,41,44",3,1998-03-18
"2,13,32,35,46,49",28,1998-03-18
"1,10,18,22,32,40",7,1998-03-24
"6,12,18,36,38,45",9,1998-03-24
"3,30,33,34,45,46",14,1998-03-30
"1,9,36,39,43,45",3,1998-03-30
"8,27,28,30,47,48",13,1998-04-05
"10,12,36,37,47,49",13,1998-04-05
"2,14,15,27,42,48",9,1998-04-11
"7,26,33,40,44,45",22,1998-04-11
"1,22,33,36,37,44",16,1998-04-17
"2,22,26,31,35,39",3,1998-04-17
"1,10,18,22,32,40",7,1998-04-23
"6,12,18,36,38,45",9,1998-04-23
"3,30,33,34,45,46",14,1998-04-29
"1,9,36,39,43,45",3,1998-04-29
"8,27,28,30,47,48",13,1998-05-05
